"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
7.452631775715796e-08,2.104193518776554e-06
7.453304896884518e-08,1.766768992395796e-06
7.454151689643136e-08,1.455277287219552e-06
7.455314633227789e-08,1.125592028786379e-06
7.457051569747225e-08,7.775698341976689e-07
7.460013846552987e-08,4.316835872623923e-07
7.465667860581459e-08,1.709249888090883e-07
7.472548540707271e-08,8.644365553189535e-08
7.480952302328499e-08,5.754698522178697e-08
7.491262579116971e-08,4.360167764780623e-08
7.505864962900069e-08,3.349638395403074e-08
7.528323692096674e-08,2.542283710194801e-08
7.563344736257644e-08,1.928783654127423e-08
7.611875787721781e-08,1.518123889773678e-08
7.680141999221537e-08,1.226473396613929e-08
7.776986451169497e-08,1.00957500672141e-08
7.888493225584749e-08,8.671604056125355e-09
8e-08,7.744833928089468e-09
8.003216565574898e-08,2.453913930699621e-08
8.007223130332914e-08,4.384215041667737e-06
8.0088202390413e-08,1.439574531757445e-05
8.009501434211096e-08,1.845760368692087e-05
8.010250563851143e-08,1.987901435807917e-05
8.010782034095808e-08,1.882542996908782e-05
8.011360250918953e-08,1.643825016973927e-05
8.011842858742109e-08,1.47738181655984e-05
8.012199962218358e-08,1.573557446138537e-05
8.012668553112463e-08,2.592572761629821e-05
8.013030406322079e-08,4.796170604795559e-05
8.013411172886476e-08,8.331757961876301e-05
8.013955208949831e-08,0.0001322826844844464
8.01446390261416e-08,0.0001568547987782888
8.014951251137144e-08,0.0001559544375136591
8.015477353350241e-08,0.0001415489956861579
8.015767375357991e-08,0.0001406175651369612
8.015974237275926e-08,0.0001468574969630208
8.016248940830041e-08,0.0001600716510989875
8.016443512157904e-08,0.000167973786018137
8.016718958693759e-08,0.0001809998834109054
8.016949319492431e-08,0.0002009244016843545
8.017158575782369e-08,0.0002174455242935195
8.017306061327855e-08,0.0002554898157984924
8.017456668698373e-08,0.0003066871816056485
8.017592537438271e-08,0.00034240261603016
8.017752951096952e-08,0.0003559577154929362
8.017924816356468e-08,0.000355397806916511
8.018065532275878e-08,0.0003454343668480995
8.018176622422216e-08,0.0003339156250118158
8.018273003265344e-08,0.0003249312160842234
8.018400053473227e-08,0.0003136475263828071
8.018515470677111e-08,0.000302599909620304
8.01862402280752e-08,0.0002914708180771999
8.018753142384303e-08,0.000275935113637059
8.018862157680566e-08,0.0002619091770771246
8.018957832514373e-08,0.0002492938395464517
8.01910059921486e-08,0.0002305630113249567
8.019261821470176e-08,0.0002121899252015798
8.019377208265242e-08,0.0002020036974942214
8.01957874937466e-08,0.0001923335382725407
8.019739411912064e-08,0.0001921225404832569
8.019869705956031e-08,0.000195504931530732
8.02e-08,0.0001993383650547316
8.020053453005646e-08,0.0002000393971755308
8.020160359016937e-08,0.000200139741004686
8.02026579504223e-08,0.0001973710357010306
8.020426849242642e-08,0.0001883357591977873
8.020603560487147e-08,0.000190867118752564
8.020753241825265e-08,0.0002015523849526949
8.020886093399866e-08,0.0002064024128109918
8.020997860574901e-08,0.0002076266121270691
8.021139437544239e-08,0.0002054907914557712
8.021264278481338e-08,0.0002021558620451116
8.021379702572942e-08,0.0001991570560460163
8.02152781517621e-08,0.0001956015095046266
8.021824040382745e-08,0.0001895477009134548
8.022310493939273e-08,0.0001815000315370381
8.022771800291402e-08,0.0001777248644225185
8.023056905113636e-08,0.0001817978172785293
8.023371698049441e-08,0.0001826215999190233
8.023620028541097e-08,0.0001753071174125805
8.023721608242541e-08,0.0001751137814380934
8.023817457334472e-08,0.0001817058093688614
8.023902692806951e-08,0.000191457149573466
8.02399346715867e-08,0.0001967829297309115
8.024073008304835e-08,0.0001913759127455394
8.024197989449195e-08,0.00016158099150631
8.024299282084198e-08,0.0001261229523332026
8.024378529090068e-08,0.0001017927467507815
8.02444119279085e-08,8.919937872918259e-05
8.024524632142561e-08,7.9363088393635e-05
8.024614808001888e-08,7.22927884798671e-05
8.024686037357307e-08,6.803700728698764e-05
8.024769494192828e-08,6.398371570767656e-05
