P_inst (k_TG=3) X,P_inst (k_TG=3) Y
3.015787471289791e-08,-5.895520876653564e-07
3.020116572396653e-08,-1.149029843617789e-06
3.021548561844364e-08,-1.545413798769289e-06
3.023221128000332e-08,-2.060280752972563e-06
3.025190417565281e-08,-2.289435510190761e-06
3.026645152508589e-08,-2.351533199512307e-06
3.028568365320224e-08,-2.505763076403269e-06
3.030821605770227e-08,-2.25651604264301e-06
3.031249080870241e-08,-1.805031207529982e-06
3.032104031070269e-08,-1.392713298214984e-06
3.032788791121241e-08,-1.080939027620188e-06
3.033512859949374e-08,-1.222244759483636e-06
3.034150283445444e-08,-9.846527855841271e-07
3.035425130437586e-08,-1.112607668711664e-06
3.037974824421868e-08,-7.928404294443652e-07
3.043074212390433e-08,-8.724682325505458e-07
3.046537106195217e-08,-6.968580828899494e-07
3.05e-08,-9.731542969435918e-07
3.05127621689999e-08,-1.061858051065161e-06
3.053044482782909e-08,-1.105831874395417e-06
3.054681460922914e-08,-1.11710544158483e-06
3.057955417202926e-08,-1.120173300491103e-06
3.060966574253218e-08,-1.120159493325474e-06
3.0666242755359e-08,-1.118887476726471e-06
3.077546407269458e-08,-1.118786353677385e-06
3.099390670736572e-08,-1.117959267972107e-06
3.143079197670801e-08,-1.118185993111402e-06
3.230456251539259e-08,-1.117581326654196e-06
3.264149220096851e-08,-1.118549774807464e-06
3.290662283837949e-08,-1.115799921223987e-06
3.303918815708498e-08,-1.11004983336697e-06
3.319913595919768e-08,-1.082856123442396e-06
3.338832939804731e-08,-9.912813356063247e-07
3.352664524009915e-08,-8.891576466640753e-07
3.36682177938959e-08,-8.481400837039525e-07
3.373365928064504e-08,-1.316223596160337e-06
3.376565801020876e-08,-1.920736521690964e-06
3.377832969074288e-08,-2.037226595648393e-06
3.380367305181113e-08,-2.229773923142026e-06
3.382372011412409e-08,-2.39356326630044e-06
3.384563375980915e-08,-4.347232474850427e-06
3.385150435029405e-08,-5.779306327404594e-06
3.385661228774799e-08,-6.74300977532357e-06
3.386169747754184e-08,-7.65530696292735e-06
3.386825559198046e-08,-7.883155848888843e-06
3.38734741613247e-08,-7.605328540979156e-06
3.387670197260704e-08,-6.155357625315761e-06
3.388000577003401e-08,-4.929885584642195e-06
3.388359177269817e-08,-3.876998668498731e-06
3.388710129341424e-08,-3.951283148198071e-06
3.389045601133686e-08,-3.598057155860267e-06
3.389478479916384e-08,-3.678743073954308e-06
3.390344237481781e-08,-3.042307255384997e-06
3.39162395887219e-08,-2.048604468354078e-06
3.392755320639186e-08,-1.115571497915442e-06
3.393321001522683e-08,-1.23624858143989e-06
3.394452363289678e-08,-9.57931216720401e-07
3.39557021677015e-08,-1.164667746240482e-06
3.397675639069056e-08,-9.390488174438351e-07
3.401294745684983e-08,-1.161241532793395e-06
3.405387088058595e-08,-9.500672794535864e-07
3.410278836853786e-08,-1.176110871394705e-06
3.416884937209821e-08,-9.69640638289359e-07
3.42903440448009e-08,-1.205767586602902e-06
3.433268760704308e-08,-9.89703668883614e-07
3.441737473152743e-08,-1.210803398366246e-06
3.45207040935102e-08,-9.926030320946053e-07
3.467072292719329e-08,-1.211525885948962e-06
3.483536146359665e-08,-9.926371750419676e-07
3.5e-08,-1.211457716081978e-06
3.502335525685044e-08,2.524701493710105e-06
3.506844889436425e-08,2.877839810809812e-06
3.511036809182034e-08,2.600008147756481e-06
3.518024654602381e-08,8.753233010895549e-07
3.519771615957468e-08,-1.500249884898037e-06
3.523265538667642e-08,-1.058380014815208e-05
3.525012500022727e-08,-1.358723296414636e-05
3.525262500022728e-08,4.20449080362998e-05
3.525538449033719e-08,-2.360929729587302e-05
3.525688853707692e-08,7.728343725185119e-06
3.525863133781201e-08,-5.659455622184034e-05
3.525937816901964e-08,-1.799225552283178e-05
3.526012500022727e-08,-7.596303561406727e-05
3.52604347569139e-08,-6.783590996634593e-05
3.526083488859132e-08,-6.814787517815482e-05
3.52612075342202e-08,-6.813564336856563e-05
3.526190716736962e-08,-6.843076187462454e-05
3.526299154067371e-08,-6.633907109605664e-05
3.526414374223166e-08,-6.287883996677091e-05
3.526532937833186e-08,-5.967727536969467e-05
3.52665149566862e-08,-6.023667095213159e-05
3.526775515714644e-08,-5.947856322259708e-05
3.526869555940303e-08,-5.526183318596511e-05
3.526964270951112e-08,-5.519965494042961e-05
3.527033446240718e-08,-5.499649947644379e-05
3.527103227345231e-08,-5.696828190581133e-05
3.527177931114053e-08,-5.551179747909772e-05
3.527310233283657e-08,-5.267736155241068e-05
3.527411429620397e-08,-4.756245369616496e-05
3.52752217808269e-08,-4.428752605514193e-05
3.527644704577787e-08,-3.887169812752125e-05
3.527841542217524e-08,-3.471552341534815e-05
